Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Educational programmes,Family
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Family
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Family
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Family
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Family
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Physiotherapy,Family
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Educational programmes,Family
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Occupational therapy,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Physiotherapy,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Educational programmes,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Physiotherapy,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Educational programmes,Transport
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Occupational therapy,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Physiotherapy,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Educational programmes,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Physiotherapy,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Educational programmes,Healthcare
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Occupational therapy,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Physiotherapy,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,PWD,Educational programmes,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Physiotherapy,Mental Health
Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Educational programmes,Mental Health
Various Services,"We prepare educational programs (IT Training) during which ex-offenders gain hard and soft skills necessary to secure a job, motivational workshops, and earn certificates of recognition that will help them in their pursuit of employment.",Acronis Foundation,https://chidnast.sirv.com/SchemesSG/acronis.jpg,https://acronis.org/rehabilitation-of-inmates/,Ex-offenders,Vocational training,Ex-offender
Various Services,"We prepare educational programs (IT Training) during which ex-offenders gain hard and soft skills necessary to secure a job, motivational workshops, and earn certificates of recognition that will help them in their pursuit of employment.",Acronis Foundation,https://chidnast.sirv.com/SchemesSG/acronis.jpg,https://acronis.org/rehabilitation-of-inmates/,Ex-offenders,Employment assistance,Ex-offender
Various Services,"We prepare educational programs (IT Training) during which ex-offenders gain hard and soft skills necessary to secure a job, motivational workshops, and earn certificates of recognition that will help them in their pursuit of employment.",Acronis Foundation,https://chidnast.sirv.com/SchemesSG/acronis.jpg,https://acronis.org/rehabilitation-of-inmates/,Ex-offenders,Vocational training,Employment
Various Services,"We prepare educational programs (IT Training) during which ex-offenders gain hard and soft skills necessary to secure a job, motivational workshops, and earn certificates of recognition that will help them in their pursuit of employment.",Acronis Foundation,https://chidnast.sirv.com/SchemesSG/acronis.jpg,https://acronis.org/rehabilitation-of-inmates/,Ex-offenders,Employment assistance,Employment
Care for Family Fund,"Many people who are diagnosed with HIV will lose their jobs. Besides providing support to those directly impacted, we also recognise that support needs to reach caregivers or affected family and loved ones. This is subsidy is disbursed on an annual basis.",Action for AIDS (AFA),https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-4,HIV patients,Financial assistance for HIV patients,Healthcare
Care for Family Fund,"Many people who are diagnosed with HIV will lose their jobs. Besides providing support to those directly impacted, we also recognise that support needs to reach caregivers or affected family and loved ones. This is subsidy is disbursed on an annual basis.",Action for AIDS (AFA),https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-4,Caregivers,Financial assistance for HIV patients,Healthcare
Care for Family Fund,"Many people who are diagnosed with HIV will lose their jobs. Besides providing support to those directly impacted, we also recognise that support needs to reach caregivers or affected family and loved ones. This is subsidy is disbursed on an annual basis.",Action for AIDS (AFA),https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-4,HIV patients,Financial assistance for HIV patients,Family
Care for Family Fund,"Many people who are diagnosed with HIV will lose their jobs. Besides providing support to those directly impacted, we also recognise that support needs to reach caregivers or affected family and loved ones. This is subsidy is disbursed on an annual basis.",Action for AIDS (AFA),https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-4,Caregivers,Financial assistance for HIV patients,Family
HIV+ Pregnant Mothers' Fund,"Assistance for HIV positive mothers who cannot afford anti-HIV treatment, in order to prevent transmission of HIV to their baby.",Action for AIDS (AFA),https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-3,HIV patients,Financial assistance for HIV patients,Healthcare
